id,famille,nom,energie,proteines,lipides,dontAGS,glucides,sucre,fibres,sodium,calcium,magnesium,fer,vitamineC,vitamineD,eau,allergene,vegetarien,visuel
120,Beurres et matieres grasses laitieres,beurre doux,745,0.7,82.2,54.9,< 1,0.58,0,15.5,16.5,2.03,0.0873,0,1.01,15.6,,,matiere grasse (huile beurre)
121,Beurres et matieres grasses laitieres,"beurre leger, 39-41% mg",359,7,36.3,23.1,1,0,0,0,0,0,0.1,0,0,56.7,,,matiere grasse (huile beurre)
122,Beurres et matieres grasses laitieres,"beurre leger, 39-41% mg, demi0sel",388,7,39.6,22.6,1,1,0,0,23,8,0.1,0,0,51,,,matiere grasse (huile beurre)
123,Beurres et matieres grasses laitieres,"matiere grasse laitiere e 20% mg, legere, e tartiner",208,0.36,21.1,10.5,4.2,0,0,228,22.7,2.3,< 1,< 1,0.7,72.1,,,matiere grasse (huile beurre)
124,Beurres et matieres grasses laitieres,"matiere grasse laitiere e 25% mg, legere, e tartiner",262,0.9,25.6,16.3,6.9,0,0,286,18,2.5,< 1,< 1,"< 0,2",68.8,,,matiere grasse (huile beurre)
125,Bieres et similaires,"biere ""coeur de marche"" (405° alcool)",32.3,0.367,0,0,1.64,1.64,0,4.44,< 9,7.37,"< 0,02",0,0,94.3,,,biere
126,Bieres et similaires,"biere ""de specialites"" ou d'abbaye, regionales ou d'une brasserie (degre d'alcool variable)",47.8,0.4,0,0,3.5,0,0,3.7,4.9,7.9,0.012,0,0,91.3,,,biere
127,Bieres et similaires,"biere ""speciale"" (5-6° alcool)",51.3,0.5,"< 0,1",0,3.24,3.24,0,1.92,5.89,9.84,0.006,0,0,90.8,,,biere
128,Bieres et similaires,biere brune,35.3,0.3,0,0,4.71,4.1,0,15.9,6.94,6,0.02,0,0,92.7,,,biere
129,Bieres et similaires,biere forte (>8° alcool),62,0.4,0,0,4.6,0,0,6.8,4.3,9,0.02,0,0,88.8,,,biere
130,Bieres et similaires,"biere sans alcool (<1,2° alcool)",26,0.25,"< 0,1",0,4.67,2.72,0,2.51,5.73,5.53,0.011,0.1,0,94,,,biere
131,Biscottes et pains non leves,biscotte classique,404,10.8,6.82,3.12,71.7,7.17,3.89,484,23.4,43.2,1.37,0,0.345,4.87,,,biscotte et pain non leve
132,Biscottes et pains non leves,biscotte complete ou riche en fibres,400,12.2,7.24,2.41,65.6,7,9.2,487,40.6,77.8,3.1,0,0,3.7,,,biscotte et pain non leve
133,Biscottes et pains non leves,biscotte multicereale,404,13,8.3,1.88,64.4,6.58,7.48,648,39.5,55.1,1.1,0,0,4.27,,,biscotte et pain non leve
134,Biscottes et pains non leves,biscotte sans adjonction de sel,402,9.93,5.84,2.2,73.4,10.1,5.9,"< 12,1",23.5,22.5,1.3,0,0,4.32,,,biscotte et pain non leve
135,Biscottes et pains non leves,blini,271,5.86,13.7,8.09,30.3,1.94,1.5,463,38.9,14.2,0.6,0,"< 0,5",47,,,biscotte et pain non leve
136,Biscottes et pains non leves,chapelure,395,11.6,5.5,0.22,71.5,2.6,4.5,728,72.8,55.5,1.8,0,0,4.68,,,biscotte et pain non leve
